,id,name,MUC_R,MUC_P,MUC_F1,B3_R,B3_P,B3_F1,CEAFm_R,CEAFm_P,CEAFm_F1,CEAFe_R,CEAFe_P,CEAFe_F1,BLANC_R,BLANC_P,BLANC_F1,LEA_R,LEA_P,LEA_F1,CoNLL_2012
0,1,articleswiki-000,0.8,0.8,0.8,0.763888888888889,0.7628205128205128,0.7633543270352228,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.5083333333333333,0.8472222222222222,0.6354166666666666,0.6744434931506849,0.859375,0.7459296218487395,0.6,0.6923076923076923,0.6428571428571429,0.7329236645672965
1,2,capitainefracasse-000,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9,0.9285714285714286,0.9140625,0.8666666666666667,0.9285714285714286,0.896551724137931,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.8888888888888888,0.9666666666666667,0.9244979919678715,0.8,0.8571428571428571,0.8275862068965518,0.8838120791245792
2,3,bouvardetpecuchet-000,1.0,0.875,0.9333333333333333,1.0,0.875,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666665,0.7714285714285715,0.9642857142857143,0.8571428571428572,0.9732142857142857,0.8846153846153846,0.9210211408057439,0.9166666666666666,0.8333333333333334,0.8730158730158729,0.9079365079365079
3,4,es-000,1.0,0.9473684210526315,0.9729729729729729,1.0,0.9444444444444444,0.9714285714285714,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.873015873015873,0.9821428571428572,0.9243697478991597,0.9949152542372881,0.9745762711864407,0.9844011554699652,0.9629629629629629,0.9259259259259259,0.944081336238199,0.956257097433568
4,5,ot-000,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0,0.37037037037037035
5,6,ub-000,0.92,0.92,0.92,0.8222222222222223,0.83,0.8260928043039678,0.8,0.8,0.8,0.77,0.77,0.77,0.8767914932963476,0.8552058111380145,0.8646243091171637,0.780952380952381,0.8088888888888889,0.794675186368477,0.838697601434656
6,7,chateaubriandgenie-000,0.875,1.0,0.9333333333333333,0.90625,1.0,0.9508196721311476,0.9375,1.0,0.967741935483871,0.9583333333333333,0.9583333333333333,0.9583333333333334,0.875,1.0,0.9333333333333333,0.875,0.9333333333333333,0.9032258064516129,0.9474954462659381
7,8,chateaubriandgenie-001,0.875,0.875,0.875,0.9117647058823529,0.9375,0.9244532803180915,0.8823529411764706,0.9375,0.9090909090909091,0.8518518518518517,0.9583333333333333,0.9019607843137255,0.875,0.9375,0.9041666666666667,0.8235294117647058,0.875,0.8484848484848485,0.9004713548772724
8,9,co-000,0.9523809523809523,1.0,0.975609756097561,0.8628571428571429,1.0,0.9263803680981595,0.92,0.92,0.92,0.9807692307692308,0.7846153846153847,0.8717948717948718,0.8888888888888888,0.9444444444444444,0.9080882352941176,0.8523076923076922,1.0,0.9202657807308969,0.9245949986635308
9,10,aden-003,0.9375,1.0,0.967741935483871,0.9305555555555555,1.0,0.9640287769784173,0.9583333333333334,1.0,0.9787234042553191,0.975,0.975,0.9749999999999999,0.9300551768906199,1.0,0.9636632973161381,0.9166666666666666,1.0,0.9565217391304348,0.9689235708207627
10,11,aden-000,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9111111111111111,0.9534883720930232,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8285714285714285,0.9666666666666667,0.8923076923076922,0.9894736842105263,0.9166666666666667,0.9492263056092843,0.9333333333333333,0.8666666666666667,0.8987654320987654,0.9289908449963169
11,12,aden-001,0.75,1.0,0.8571428571428572,0.7142857142857143,1.0,0.8333333333333334,0.7142857142857143,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8,0.5875,1.0,0.7171717171717171,0.7142857142857143,1.0,0.8333333333333333,0.8301587301587302
12,13,aden-002,1.0,0.9473684210526315,0.9729729729729729,1.0,0.9642857142857143,0.9818181818181818,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.8666666666666666,0.9629629629629629,0.9122807017543859,0.9984939759036144,0.9893617021276595,0.9938695081010072,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9556906188485136
13,14,aden-066,0.9375,0.9375,0.9375,0.93,0.96,0.9447619047619048,0.96,0.96,0.96,0.9555555555555555,0.9555555555555555,0.9555555555555555,0.9083407014441497,0.9717398706162752,0.9368686868686869,0.88,0.92,0.8995555555555556,0.9459391534391535
14,15,aden-004,0.9166666666666666,1.0,0.9565217391304347,0.875,1.0,0.9333333333333333,0.875,1.0,0.9333333333333333,0.75,1.0,0.8571428571428572,0.8105896881753627,1.0,0.8861348528015194,0.875,1.0,0.9333333333333333,0.9156659765355417
15,16,aden-005,1.0,0.9629629629629629,0.9811320754716981,1.0,0.9649122807017543,0.9821428571428571,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9,0.9818181818181819,0.9391304347826087,0.9983766233766234,0.9887640449438202,0.9935051736881005,0.9736842105263158,0.9473684210526315,0.9603460706560922,0.9674684557990546
16,17,aden-006,0.9411764705882353,1.0,0.9696969696969697,0.9130434782608695,1.0,0.9545454545454545,0.9130434782608695,1.0,0.9545454545454545,0.8333333333333334,1.0,0.9090909090909091,0.8704464918497519,1.0,0.9264998983119788,0.9130434782608695,1.0,0.9545454545454545,0.9444444444444444
17,18,aden-007,0.9375,1.0,0.967741935483871,0.9204545454545454,1.0,0.9585798816568047,0.9545454545454546,1.0,0.9767441860465116,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9153795811518325,1.0,0.9557942057942057,0.9090909090909091,1.0,0.9523809523809523,0.9675040977770506
18,19,aden-008,1.0,0.9285714285714286,0.962962962962963,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9946808510638299,0.9916666666666667,0.9931245225362872,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9164021164021164
19,20,aden-009,1.0,0.9090909090909091,0.9523809523809523,1.0,0.9333333333333333,0.9655172413793104,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9925373134328358,0.9871794871794872,0.9897470950102529,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9109043361916925
20,21,aden-010,1.0,0.875,0.9333333333333333,1.0,0.9166666666666666,0.9565217391304347,0.9166666666666666,0.9166666666666666,0.9166666666666665,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9897959183673469,0.9722222222222222,0.980559646539028,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9015566290928609
21,22,aden-011,0.9285714285714286,1.0,0.962962962962963,0.9,1.0,0.9473684210526315,0.9,1.0,0.9473684210526315,0.8333333333333334,1.0,0.9090909090909091,0.8688394276629571,1.0,0.9264840182648402,0.9,1.0,0.9473684210526316,0.9398074310355012
22,23,aden-012,1.0,0.9,0.9473684210526315,1.0,0.9,0.9473684210526315,0.9375,0.9375,0.9375,0.8412698412698413,0.9814814814814815,0.905982905982906,0.9813084112149533,0.8823529411764706,0.9238095238095239,0.9375,0.875,0.9051724137931034,0.933573249362723
23,24,aden-013,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9423076923076923,0.96,0.9510715729882733,0.9230769230769231,0.96,0.9411764705882353,0.8095238095238095,0.9444444444444445,0.8717948717948718,0.9415755657844265,0.9943181818181819,0.9664785381656206,0.8846153846153846,0.92,0.9019607843137256,0.9234116219452588
24,25,aden-014,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9466666666666668,0.96,0.9532867132867133,0.96,0.96,0.96,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.971775813579751,0.9826842051176652,0.9771428571428571,0.88,0.92,0.8995555555555556,0.9425988390694273
25,26,aden-015,1.0,0.9285714285714286,0.962962962962963,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9956140350877193,0.9875,0.9914682429041433,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9164021164021164
26,27,aden-016,0.875,1.0,0.9333333333333333,0.8615384615384615,1.0,0.9256198347107437,0.9230769230769231,1.0,0.9600000000000001,0.9777777777777779,0.9777777777777779,0.9777777777777777,0.7946428571428572,1.0,0.8833333333333333,0.8461538461538461,1.0,0.9166666666666666,0.9455769819406182
27,28,aden-017,0.875,0.875,0.875,0.888888888888889,0.9047619047619048,0.896755162241888,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8095238095238094,0.9444444444444443,0.8717948717948717,0.8263157894736842,0.9,0.8602272727272727,0.8,0.8571428571428571,0.8275862068965518,0.8811833446789199
28,29,aden-018,0.9166666666666666,1.0,0.9565217391304347,0.8875,1.0,0.9403973509933775,0.9375,1.0,0.967741935483871,0.9722222222222222,0.9722222222222222,0.9722222222222221,0.8761755485893417,1.0,0.9339996041955274,0.875,1.0,0.9333333333333333,0.9563804374486781
29,30,aden-019,0.9,0.9,0.8999999999999999,0.9215686274509803,0.9411764705882353,0.9312693498452012,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9238095238095239,0.9238095238095239,0.9238095238095239,0.9369747899159664,0.9604166666666667,0.9482693039178395,0.8235294117647058,0.8823529411764706,0.8519269776876267,0.9183596245515749
30,31,aden-020,1.0,0.9444444444444444,0.9714285714285714,1.0,0.9318181818181818,0.9647058823529412,0.9545454545454546,0.9545454545454546,0.9545454545454545,0.7714285714285715,0.9642857142857143,0.8571428571428572,0.9907407407407407,0.9791666666666667,0.9846888049313979,0.9545454545454546,0.9090909090909091,0.9312638580931263,0.9310924369747899
31,32,aden-021,1.0,0.9166666666666666,0.9565217391304347,1.0,0.7714285714285715,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6296296296296297,0.9444444444444444,0.7555555555555555,0.8571428571428572,0.8431372549019608,0.8236434108527132,1.0,0.746031746031746,0.8545454545454546,0.861015012207158
32,33,aden-022,1.0,0.8888888888888888,0.9411764705882353,1.0,0.8769230769230769,0.9344262295081968,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.7777777777777778,0.9722222222222222,0.8641975308641975,0.9692307692307692,0.8823529411764706,0.9174603174603175,0.9230769230769231,0.8461538461538461,0.8829431438127091,0.9132667436535432
33,34,aden-065,1.0,0.9090909090909091,0.9523809523809523,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9523809523809524,0.8888888888888888,0.9963235294117647,0.9722222222222222,0.9838692672641012,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9375661375661375
34,35,articleswiki-001,0.7692307692307693,1.0,0.8695652173913044,0.7777777777777778,1.0,0.875,0.7777777777777778,1.0,0.875,0.8,1.0,0.8888888888888888,0.6688571428571428,1.0,0.7956701030927835,0.7777777777777778,1.0,0.8750000000000001,0.8778180354267311
35,36,bossuetdiscours-000,1.0,0.9583333333333334,0.9787234042553191,1.0,0.95,0.9743589743589743,0.9714285714285714,0.9714285714285714,0.9714285714285713,0.9111111111111111,0.993939393939394,0.9507246376811593,0.9935543278084715,0.9406779661016949,0.9652247242608688,0.9714285714285714,0.9428571428571428,0.9569296375266525,0.9679356720984843
36,37,bouvardetpecuchet-003,1.0,0.75,0.8571428571428572,1.0,0.75,0.8571428571428572,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6190476190476191,0.9285714285714286,0.7428571428571429,0.8636363636363636,0.7857142857142857,0.784688995215311,0.8333333333333334,0.6666666666666666,0.7407407407407408,0.8190476190476191
37,38,aden-023,0.9473684210526315,1.0,0.9729729729729729,0.923076923076923,1.0,0.96,0.96,1.0,0.9795918367346939,0.9933333333333333,0.9933333333333333,0.9933333333333332,0.9035162950257289,1.0,0.9488515273502249,0.92,1.0,0.9583333333333334,0.9754354354354353
38,39,codecivildesfrancais-1-000,0.8888888888888888,1.0,0.9411764705882353,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,0.8,1.0,0.8888888888888888,0.8070175438596491,1.0,0.8864864864864865,0.8571428571428571,1.0,0.923076923076923,0.9177140941846824
39,40,codecivildesfrancais-2-000,0.8571428571428571,1.0,0.923076923076923,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,1.0,0.9090909090909091,0.8,1.0,0.8888888888888888,0.7714285714285715,1.0,0.8649885583524027,0.8333333333333334,1.0,0.9090909090909091,0.907018907018907
40,41,aden-024,0.9166666666666666,1.0,0.9565217391304347,0.8968253968253967,1.0,0.9456066945606694,0.9444444444444444,1.0,0.9714285714285714,0.9871794871794872,0.9871794871794872,0.9871794871794873,0.8488571428571429,1.0,0.9169874476987447,0.8888888888888888,1.0,0.9411764705882353,0.9631026402901971
41,42,capitainefracasse-001,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8928571428571429,0.8974358974358974,0.8951406649616369,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.76,0.95,0.8444444444444444,0.8745614035087719,0.9375,0.9008882655446471,0.8571428571428571,0.8461538461538461,0.8516129032258064,0.8761579994316567
42,43,capitainefracasse-002,1.0,0.9,0.9473684210526315,1.0,0.8933333333333333,0.9436619718309859,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8148148148148149,0.9777777777777779,0.888888888888889,0.9777777777777779,0.8947368421052632,0.9298128342245989,0.9333333333333333,0.8666666666666667,0.8987654320987654,0.9266397605908354
43,44,capitainefracasse-003,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8666666666666667,0.9111111111111111,0.8883333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.861111111111111,0.861111111111111,0.861111111111111,0.8555555555555555,0.9013377926421404,0.8763736263736264,0.7555555555555556,0.8666666666666667,0.8073059360730596,0.8794444444444444
44,45,capitainefracasse-004,0.8888888888888888,1.0,0.9411764705882353,0.8571428571428571,1.0,0.923076923076923,0.8571428571428571,1.0,0.923076923076923,0.8,1.0,0.8888888888888888,0.8087719298245615,1.0,0.8890086206896552,0.8571428571428571,1.0,0.923076923076923,0.9177140941846824
45,46,bouvardetpecuchet-001,1.0,0.7777777777777778,0.875,1.0,0.7846153846153846,0.8793103448275862,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.625,0.9375,0.75,0.9485294117647058,0.7941176470588236,0.843238587424634,0.8461538461538461,0.7307692307692307,0.7842401500938085,0.8347701149425287
46,47,es-001,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9506172839506173,0.9629629629629629,0.9567502986857825,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9407407407407408,0.9407407407407408,0.9407407407407409,0.9804479418886198,0.9875307125307125,0.9839484154204967,0.8888888888888888,0.9259259259259259,0.9070294784580497,0.9473118279569893
47,48,es-002,1.0,0.9,0.9473684210526315,1.0,0.9310344827586207,0.9642857142857142,0.9310344827586207,0.9310344827586207,0.9310344827586206,0.7727272727272727,0.9444444444444444,0.85,0.9957142857142858,0.9745762711864407,0.9848044413947976,0.896551724137931,0.896551724137931,0.896551724137931,0.9205513784461152
48,49,es-003,0.9444444444444444,1.0,0.9714285714285714,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769231,1.0,0.9600000000000001,0.875,1.0,0.9333333333333333,0.90185209771641,1.0,0.9465159036587608,0.9230769230769231,1.0,0.9600000000000001,0.954920634920635
49,50,chateaubriandgenie-002,0.875,0.875,0.875,0.90625,0.9111111111111111,0.9086740542606038,0.875,0.9333333333333333,0.903225806451613,0.85,0.9714285714285714,0.9066666666666666,0.8660714285714286,0.8888888888888888,0.8733031674208145,0.875,0.8666666666666667,0.8708133971291866,0.8967802403090901
50,51,chateaubriandgenie-003,0.875,0.875,0.875,0.9117647058823529,0.9375,0.9244532803180915,0.8823529411764706,0.9375,0.9090909090909091,0.8518518518518517,0.9583333333333333,0.9019607843137255,0.875,0.9375,0.9041666666666667,0.8235294117647058,0.875,0.8484848484848485,0.9004713548772724
51,52,chateaubriandgenie-004,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8666666666666666,0.9629629629629629,0.9122807017543859,0.996551724137931,0.9444444444444444,0.9688581314878892,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9416285812570642
52,53,chateaubriandgenie-005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,54,co-001,0.9523809523809523,1.0,0.975609756097561,0.92,1.0,0.9583333333333334,0.92,1.0,0.9583333333333334,0.75,1.0,0.8571428571428572,0.8755787037037037,1.0,0.9296270813265446,0.92,1.0,0.9583333333333334,0.9303619821912505
54,55,co-002,1.0,0.9545454545454546,0.9767441860465116,1.0,0.9629629629629629,0.9811320754716981,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.9979423868312758,0.9954128440366973,0.9966649246995107,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9354537033343527
55,56,aden-025,1.0,0.9230769230769231,0.9600000000000001,1.0,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.9955357142857143,0.9880952380952381,0.9917337511480901,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9266378066378067
56,57,aden-026,0.8571428571428571,1.0,0.923076923076923,0.8,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,0.6666666666666666,1.0,0.8,0.6848739495798319,1.0,0.7848484848484849,0.8,1.0,0.888888888888889,0.8706552706552706
57,58,aden-027,1.0,0.9333333333333333,0.9655172413793104,1.0,0.9153439153439153,0.9558011049723757,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8487394957983193,0.9901960784313726,0.9140271493212669,0.976878612716763,0.9111111111111111,0.9393851926684947,0.9523809523809523,0.9047619047619048,0.9279609279609279,0.9451151652243177
58,59,aden-029,0.8888888888888888,1.0,0.9411764705882353,0.8833333333333333,1.0,0.9380530973451328,0.9333333333333333,1.0,0.9655172413793104,0.9761904761904763,0.9761904761904763,0.9761904761904762,0.8248327759197325,1.0,0.9029907011812013,0.8666666666666667,1.0,0.9285714285714286,0.9518066813746148
59,60,aden-030,1.0,0.9,0.9473684210526315,1.0,0.9166666666666666,0.9565217391304347,0.9375,0.9375,0.9375,0.8285714285714285,0.9666666666666667,0.8923076923076922,0.9906542056074766,0.9333333333333333,0.9595687331536389,0.9375,0.875,0.9051724137931034,0.9320659508302528
60,61,aden-032,1.0,0.9629629629629629,0.9811320754716981,1.0,0.9743589743589743,0.987012987012987,0.9743589743589743,0.9743589743589743,0.9743589743589742,0.8974358974358974,0.9722222222222222,0.9333333333333332,0.9992354740061162,0.9943181818181819,0.9967603016723139,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9671594652726728
61,62,aden-034,1.0,0.9444444444444444,0.9714285714285714,1.0,0.9615384615384616,0.9803921568627451,0.9615384615384616,0.9615384615384616,0.9615384615384615,0.8518518518518517,0.9583333333333333,0.9019607843137255,0.9982578397212544,0.9871794871794872,0.9926338931574534,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9512605042016806
62,63,aden-035,0.875,1.0,0.9333333333333333,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,1.0,0.9166666666666666,0.8,1.0,0.8888888888888888,0.7924107142857143,1.0,0.8777078965758212,0.8461538461538461,1.0,0.9166666666666666,0.912962962962963
63,64,aden-036,0.875,1.0,0.9333333333333333,0.8461538461538461,1.0,0.9166666666666666,0.8461538461538461,1.0,0.9166666666666666,0.8,1.0,0.8888888888888888,0.7924107142857143,1.0,0.8777078965758212,0.8461538461538461,1.0,0.9166666666666666,0.912962962962963
64,65,aden-038,1.0,0.8888888888888888,0.9411764705882353,1.0,0.9375,0.967741935483871,0.9375,0.9375,0.9375,0.8333333333333334,0.9523809523809524,0.8888888888888888,0.9954545454545455,0.9545454545454546,0.9739073711676451,0.875,0.875,0.875,0.9326024316536651
